Translated_Comment,Cleaned_Translated_Comment,Sentiment_Scores,Sentiment_Compound,Sentiment_Label,lstm_sentiment_labeling,lstm_sentiment_score,lstm_matches_vader,roberta_sentiment_labeling,roberta_sentiment_score,distilbert_sentiment_labeling,distilbert_sentiment_score
WHO useless and worthless,who useless and worthless,"{'neg': 0.74, 'neu': 0.26, 'pos': 0.0, 'compound': -0.6908}",-0.6908,Negative,Negative,0.71281964,1,Negative,0.846181273,Negative,0.985912502
Mask yourself and sit at home..to be safe,mask yourself and sit at hometo be safe,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,Positive,Positive,0.83460104,1,Neutral,0.802820861,Positive,0.8311041
Not againðŸ˜­ðŸ˜­. This stupid country doesn't even share any data with others. What the hell is wrong with China,not againðÿðÿ this stupid country doesnt even share any data with others what the hell is wrong with china,"{'neg': 0.475, 'neu': 0.525, 'pos': 0.0, 'compound': -0.9272}",-0.9272,Negative,Negative,0.9364463,1,Negative,0.948442817,Negative,0.988475442
Again 2020 because 2020 was started with WTF and 2025 is also is starting with WTFðŸ˜¢,again 2020 because 2020 was started with wtf and 2025 is also is starting with wtfðÿ,"{'neg': 0.202, 'neu': 0.798, 'pos': 0.0, 'compound': -0.5859}",-0.5859,Negative,Negative,0.91671246,1,Neutral,0.704696298,Positive,0.594964564
Her news is always full of shit and she is really full of shit... Living in hong kong nothing of sort and also thr video and pics were from covid time just to scare us... Don't believe anything this woman says.,her news is always full of shit and she is really full of shit living in hong kong nothing of sort and also thr video and pics were from covid time just to scare us dont believe anything this woman says,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.8925}",-0.8925,Negative,Negative,0.87362844,1,Negative,0.951135933,Negative,0.875205159
That virus big business china ..bay meny mask china brand,that virus big business china bay meny mask china brand,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.97772235,1,Negative,0.667320013,Negative,0.851218462
Its well know that indian news is ahead of the rest of the world! ðŸ‘,its well know that indian news is ahead of the rest of the world ðÿ,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2732}",0.2732,Positive,Positive,0.8799338,1,Positive,0.54727757,Positive,0.758415639
"Just like all creation,we are cut down every year, Trimmed back, pruned and ready for new growth. Nature. We are of nature,you cant fight that.",just like all creationwe are cut down every year trimmed back pruned and ready for new growth nature we are of natureyou cant fight that,"{'neg': 0.066, 'neu': 0.627, 'pos': 0.307, 'compound': 0.7707}",0.7707,Positive,Positive,0.95889795,1,Neutral,0.55872798,Negative,0.77391237
"You just always blame China, for this false shit.",you just always blame china for this false shit,"{'neg': 0.462, 'neu': 0.538, 'pos': 0.0, 'compound': -0.7184}",-0.7184,Negative,Negative,0.8876842,1,Negative,0.915616155,Negative,0.90541327
Please pray for the poor people of china they are good people,please pray for the poor people of china they are good people,"{'neg': 0.167, 'neu': 0.43, 'pos': 0.403, 'compound': 0.5267}",0.5267,Positive,Positive,0.8427701,1,Positive,0.773437262,Positive,0.865650594
Yâ€:trade_mark:all need to stop blaming China and just find a vaccine ong. Complaining and being racist ainâ€:trade_mark:t gonna do jit bruh.,yâtrade_markall need to stop blaming china and just find a vaccine ong complaining and being racist ainâtrade_markt gonna do jit bruh,"{'neg': 0.397, 'neu': 0.603, 'pos': 0.0, 'compound': -0.8807}",-0.8807,Negative,Negative,0.9195249,1,Negative,0.918610811,Negative,0.736013889
Block china,block china,"{'neg': 0.744, 'neu': 0.256, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative,Negative,0.90738684,1,Negative,0.65354377,Negative,0.751656353
If the symptoms are similar is it possible to not catch it? If not then wtf am i going to do,if the symptoms are similar is it possible to not catch it if not then wtf am i going to do,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.4717}",0.4717,Positive,Negative,0.7091087,0,Negative,0.593856633,Negative,0.571255744
I've bearly recovered from the previous pandemic. If this gets out I won't make it,ive bearly recovered from the previous pandemic if this gets out i wont make it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Positive,0.7949013,0,Negative,0.817317128,Negative,0.963593781
"Communist lifestyle and it's result,",communist lifestyle and its result,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9627758,1,Negative,0.760392129,Positive,0.546244919
"`thanks to goverment and leading illuminatie, they just want us to stay inside becouse what is going on in the skies!",thanks to goverment and leading illuminatie they just want us to stay inside becouse what is going on in the skies,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.4939}",0.4939,Positive,Positive,0.9750184,1,Negative,0.58525151,Negative,0.543731213
Pterodactylus eaters.,pterodactylus eaters,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9499,1,Negative,0.741474628,Positive,0.736257672
Block china traveling and transport... Till it comes normal,block china traveling and transport till it comes normal,"{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative,Negative,0.94174707,1,Negative,0.536940992,Negative,0.729638875
For god sake ! Do not spread fake news! I stay in china and it is normal here! Please do spread what exactly occurring !,for god sake do not spread fake news i stay in china and it is normal here please do spread what exactly occurring,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.7144}",0.7144,Positive,Negative,0.7887375,0,Negative,0.632389784,Positive,0.554494917
"It's USA fault.  Covid 19 lab in china USA was in on it.  Hence why do yoi think Bill Gates was talking about it??  As American I'm not surprised.      

Hope China citizens will be okay.      People that traveled too those areas will get everyone else sick",its usa fault covid 19 lab in china usa was in on it hence why do yoi think bill gates was talking about it as american im not surprised hope china citizens will be okay people that traveled too those areas will get everyone else sick,"{'neg': 0.19, 'neu': 0.774, 'pos': 0.036, 'compound': -0.8004}",-0.8004,Negative,Negative,0.70943576,1,Negative,0.828755856,Negative,0.893470526
In China as before! Nobody can do un examination in China like last time,in china as before nobody can do un examination in china like last time,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}",0.3612,Positive,Positive,0.8595478,1,Negative,0.53126204,Negative,0.899651527
It may not be because of food... The economy is getting disturbed because of Western sanctions so maybe they cooked up another virus in lab to let the other countries grow.,it may not be because of food the economy is getting disturbed because of western sanctions so maybe they cooked up another virus in lab to let the other countries grow,"{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative,Negative,0.79459774,1,Negative,0.676100314,Negative,0.774113774
"2018-Covid 19
2025 and counting no WAIT!!!!
GOVT HAS TO DO SOMETHING TO ðŸ›‘",2018covid 19 2025 and counting no wait govt has to do something to ðÿ,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,Negative,0.7754895,1,Negative,0.526921213,Negative,0.62689352
just close the border,just close the border,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.98764384,1,Negative,0.626788199,Positive,0.712395847
This is really getting out of hand by China. Atleast be honest to world or world should start boycotting them. Enough is enough.,this is really getting out of hand by china atleast be honest to world or world should start boycotting them enough is enough,"{'neg': 0.092, 'neu': 0.685, 'pos': 0.223, 'compound': 0.5859}",0.5859,Positive,Negative,0.4648815,0,Negative,0.910507143,Negative,0.656020105
Nothing is happening. Stop spreading bullshit again.,nothing is happening stop spreading bullshit again,"{'neg': 0.356, 'neu': 0.468, 'pos': 0.177, 'compound': -0.4427}",-0.4427,Negative,Negative,0.9404043,1,Negative,0.865111828,Negative,0.967435598
can we stop allowing chinese to come to our countries,can we stop allowing chinese to come to our countries,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,Negative,0.83460575,1,Negative,0.662935793,Negative,0.601422489
When trump gets in power china brings virus ðŸ¦ ,when trump gets in power china brings virus ðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.91132355,1,Negative,0.6217314,Negative,0.783896983
"The clips are regarding the old covid 19,  nothing to do with HMPV, thatâ€:trade_mark:s why they need to slap on the unverified video in the top leftâ€¦ ðŸ¤¦â€â:trade_mark:‚ï¸. So itâ€:trade_mark:s unverified but yet Palki pushing it as evidenceâ€¦ ðŸ¤·â€â:trade_mark:‚ï¸ðŸ¤¦â€â:trade_mark:‚ï¸",the clips are regarding the old covid 19 nothing to do with hmpv thatâtrade_marks why they need to slap on the unverified video in the top leftâ ðÿââtrade_markï so itâtrade_marks unverified but yet palki pushing it as evidenceâ ðÿââtrade_markïðÿââtrade_markï,"{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.1779}",0.1779,Positive,Negative,0.6393621,0,Negative,0.498620629,Negative,0.717444658
Fake news. I live in Shanghai.,fake news i live in shanghai,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative,Negative,0.97976476,1,Negative,0.534270287,Negative,0.889740229
"ANOTHER PLANDEMIC, ANOTHER PROFIT FROM PHARMACEUTICAL COMPANY AND W.H.O. ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚",another plandemic another profit from pharmaceutical company and who ðÿðÿðÿðÿðÿ,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",0.4404,Positive,Positive,0.4042224,1,Negative,0.631561875,Negative,0.638816476
Just in time for Trump to take office â€¦ how convenient. ðŸ¤¨,just in time for trump to take office â how convenient ðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.8435858,1,Positive,0.758069932,Positive,0.858685434
this woman's voice is sickening,this womans voice is sickening,"{'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.5267}",-0.5267,Negative,Negative,0.6577505,1,Negative,0.919736922,Negative,0.98549819
"*BULLSHIT* India tops the world for disinformation, remember the ""China leader missing there has been a coup"" BSðŸ¤£",bullshit india tops the world for disinformation remember the china leader missing there has been a coup bsðÿ,"{'neg': 0.247, 'neu': 0.617, 'pos': 0.136, 'compound': -0.4019}",-0.4019,Negative,Negative,0.9308409,1,Negative,0.896187484,Negative,0.933456421
Yaaaayyyyy !!!! Work from Home !!!!!!!!!!!!,yaaaayyyyy work from home,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.989521,1,Positive,0.806740224,Negative,0.578813791
Covid 2.0 :),covid 20,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9830769,1,Neutral,0.750282228,Positive,0.783051908
It reminds me of my aquarium which was crowded with fishes. They slowly died due to over crowding. I was inexperienced back then. This can happen to humans too.,it reminds me of my aquarium which was crowded with fishes they slowly died due to over crowding i was inexperienced back then this can happen to humans too,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.5574}",-0.5574,Negative,Negative,0.7443277,1,Negative,0.847627699,Positive,0.506229103
Season 2,season 2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.99086344,1,Neutral,0.683905244,Positive,0.680258512
Why everytime have to start from China,why everytime have to start from china,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9873674,1,Negative,0.795548081,Negative,0.951342285
"Must censured,
Terrible misinformation of 2025.",must censured terrible misinformation of 2025,"{'neg': 0.574, 'neu': 0.426, 'pos': 0.0, 'compound': -0.6597}",-0.6597,Negative,Negative,0.9316727,1,Negative,0.825428009,Negative,0.980061173
"They took the 'bring back 2020' too seriously ðŸ’€ðŸ:trade_mark:
Hope they get better though",they took the bring back 2020 too seriously ðÿðÿtrade_mark hope they get better though,"{'neg': 0.092, 'neu': 0.595, 'pos': 0.314, 'compound': 0.6249}",0.6249,Positive,Positive,0.9683888,1,Negative,0.650761366,Negative,0.759649754
"Covid 19 ( 2019-2020
Trump was the President 
Liverpool won the premier league 

2025
Trump is the president again
Liverpool will win the league again 
Don't worry it is just coincidence",covid 19 20192020 trump was the president liverpool won the premier league 2025 trump is the president again liverpool will win the league again dont worry it is just coincidence,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.8722}",0.8722,Positive,Positive,0.9188551,1,Positive,0.657256663,Positive,0.79032439
They do this when Trump is president,they do this when trump is president,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9576648,1,Neutral,0.505069435,Positive,0.799432874
cnyv stand for chinese new year virus ðŸ§§ðŸ§§ðŸŽŠðŸŽŠâ˜¢ï¸â˜¢ï¸â˜¢ï¸,cnyv stand for chinese new year virus ðÿðÿðÿžšðÿžšâïâïâï,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9840404,1,Negative,0.637662768,Negative,0.582475901
"ðŸ˜‚ðŸ˜‚ðŸ˜‚ indian citizens in China, saying godi ghuuðŸ’:copyright:ðŸ¤¡media making false statements ðŸ˜¡",ðÿðÿðÿ indian citizens in china saying godi ghuuðÿcopyrightðÿmedia making false statements ðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9027948,1,Negative,0.678939819,Negative,0.638646066
"THEY EAT BATS, RATS, SNAKES, CATS, WARMS, LABOSTOR, CROCODILES, FLAMINGOS,  TERMITES,  RED ANTS, EAGLES, BABOONS,  BACK MAMBA, AFRICANS,    so are we going to stay in this WORLD suffering with PEOPLE who don't care about life?????????????",they eat bats rats snakes cats warms labostor crocodiles flamingos termites red ants eagles baboons back mamba africans so are we going to stay in this world suffering with people who dont care about life,"{'neg': 0.144, 'neu': 0.803, 'pos': 0.053, 'compound': -0.5615}",-0.5615,Negative,Negative,0.82171345,1,Negative,0.900502324,Negative,0.733779609
"Palki Sharma, why do you badmouth China but silent on India's outbreak?  I used to admire your post but not anymore because I realized that you are not objective and are fake news.",palki sharma why do you badmouth china but silent on indias outbreak i used to admire your post but not anymore because i realized that you are not objective and are fake news,"{'neg': 0.106, 'neu': 0.789, 'pos': 0.106, 'compound': 0.0}",0,Neutral,Neutral,0.46860528,1,Negative,0.908986449,Negative,0.81267941
Here we go again ðŸ˜­ðŸ˜­,here we go again ðÿðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.95251757,1,Neutral,0.56079334,Positive,0.804870963
"This virus began in chickens and turkeys. Once again, EATING ANIMALS does us humans no favors!",this virus began in chickens and turkeys once again eating animals does us humans no favors,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.1877}",-0.1877,Negative,Negative,0.76755273,1,Negative,0.917606175,Negative,0.906480312
Wtf this scary..its like 2019 again..story and hear say started on January..when march started..its too late the world lockdown....,wtf this scaryits like 2019 againstory and hear say started on januarywhen march startedits too late the world lockdown,"{'neg': 0.163, 'neu': 0.73, 'pos': 0.107, 'compound': -0.3182}",-0.3182,Negative,Negative,0.8946837,1,Negative,0.904242516,Negative,0.896406293
"The media loves to portray China as a scary, backward country.",the media loves to portray china as a scary backward country,"{'neg': 0.201, 'neu': 0.566, 'pos': 0.233, 'compound': 0.128}",0.128,Positive,Positive,0.5191537,1,Negative,0.863569677,Positive,0.929383397
Perlament govt population control something virus name ðŸŽ‰,perlament govt population control something virus name ðÿž,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.94591904,1,Neutral,0.668531477,Negative,0.553836703
not untill they stop eating every livingthing,not untill they stop eating every livingthing,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.2235}",0.2235,Positive,Negative,0.8242611,0,Negative,0.645393908,Negative,0.75652194
This is no mistake...its a re make,this is no mistakeits a re make,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,Negative,0.84915084,1,Neutral,0.544537783,Positive,0.828031778
NOBODY CARES ANYMORE PALKI. U NEED TO STOP REPORTING THIS BULLSHIT FROM CHYNAH. EVERYBODY TIRED WITH FAKE HEALTH CRISIS,nobody cares anymore palki u need to stop reporting this bullshit from chynah everybody tired with fake health crisis,"{'neg': 0.502, 'neu': 0.405, 'pos': 0.093, 'compound': -0.9201}",-0.9201,Negative,Negative,0.83478826,1,Negative,0.944047928,Negative,0.946055591
The world goes from worse to worse and worst! Jesus Christ is coming soon. Accept Him as your personal Saviour and Lord of you life. You'll never regret it. The only secure place to live in is the Presence of God.,the world goes from worse to worse and worst jesus christ is coming soon accept him as your personal saviour and lord of you life youll never regret it the only secure place to live in is the presence of god,"{'neg': 0.192, 'neu': 0.633, 'pos': 0.176, 'compound': -0.4344}",-0.4344,Negative,Negative,0.63827187,1,Positive,0.485152721,Negative,0.675640285
2025 drops the sequel?,2025 drops the sequel,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9691955,1,Neutral,0.835202277,Negative,0.823129416
"No sympathy will be offered from the Philippines, they are bad neighbor!",no sympathy will be offered from the philippines they are bad neighbor,"{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.6818}",-0.6818,Negative,Negative,0.9213015,1,Negative,0.923991024,Negative,0.962368608
Why Indian media manipulate everything,why indian media manipulate everything,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9699798,1,Negative,0.796394587,Negative,0.931095898
"it's a sign, the second coming of Jesus is near,,",its a sign the second coming of jesus is near,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.98513025,1,Positive,0.591832042,Positive,0.768331647
"Why are all these ""viruses"" originating in China? Has anyone ever stopped to question that?",why are all these viruses originating in china has anyone ever stopped to question that,"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.2263}",-0.2263,Negative,Negative,0.71143615,1,Negative,0.852210045,Negative,0.936937332
According to other Youtube sources this Virus Outbreak news is not true . It happens to be a normal flu.,according to other youtube sources this virus outbreak news is not true it happens to be a normal flu,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.6036}",-0.6036,Negative,Negative,0.7627005,1,Negative,0.666591644,Negative,0.941399753
"Unknown origin, how about: laboratory! There, thanks me later!!!",unknown origin how about laboratory there thanks me later,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",0.4404,Positive,Positive,0.71115,1,Neutral,0.820193946,Positive,0.897920847
The perpetrators of COVID are back again,the perpetrators of covid are back again,"{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.25}",-0.25,Negative,Neutral,0.5473632,0,Negative,0.895542085,Negative,0.624513447
No use listening to any Chinese reps.,no use listening to any chinese reps,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,Negative,0.88231575,1,Negative,0.758264303,Negative,0.544630766
Time and again why is it China always? Are we supposed to believe that it's nothing but just a coincidence that 99% of such strange viral diseases originate from China? Clearly something is off.,time and again why is it china always are we supposed to believe that its nothing but just a coincidence that 99 of such strange viral diseases originate from china clearly something is off,"{'neg': 0.058, 'neu': 0.848, 'pos': 0.094, 'compound': 0.3291}",0.3291,Positive,Negative,0.5270865,0,Negative,0.881203353,Negative,0.825414658
My friend working in china say nothing thereðŸ˜‚,my friend working in china say nothing thereðÿ,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.4939}",0.4939,Positive,Neutral,0.46275163,0,Neutral,0.562042415,Negative,0.711475909
60 years lay dormant  in china why suddenly spread rapidly?,60 years lay dormant in china why suddenly spread rapidly,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.99675393,1,Negative,0.710894108,Negative,0.853971124
another effort to decrease the population!,another effort to decrease the population,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9455096,1,Negative,0.603267193,Negative,0.648564994
China is playing with the whole world & they got away with coronavirus this time they will be punished...! ðŸ˜¡,china is playing with the whole world they got away with coronavirus this time they will be punished ðÿ,"{'neg': 0.138, 'neu': 0.78, 'pos': 0.083, 'compound': -0.296}",-0.296,Negative,Positive,0.5161796,0,Negative,0.908981323,Negative,0.69237864
Russia  foun biolabs in Ukraine  meant  for Russia  and china,russia foun biolabs in ukraine meant for russia and china,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9584814,1,Neutral,0.872915864,Positive,0.549672425
"Dear China, 
We pray for you â¤ï¸ 
Love, india",dear china we pray for you âï love india,"{'neg': 0.0, 'neu': 0.397, 'pos': 0.603, 'compound': 0.8442}",0.8442,Positive,Positive,0.9953073,1,Positive,0.857690692,Positive,0.926127493
Another developing virus spreading coz of a man lust for power and gain,another developing virus spreading coz of a man lust for power and gain,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.5267}",0.5267,Positive,Positive,0.7736337,1,Negative,0.832044125,Negative,0.770489335
Fake news,fake news,"{'neg': 0.756, 'neu': 0.244, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative,Negative,0.985011,1,Neutral,0.500733137,Negative,0.945416093
Season 2 is released ðŸ˜:registered:,season 2 is released ðÿregistered,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.9974703,1,Neutral,0.833336473,Negative,0.506348133
"I'm Malaysian.I'm in China to travel, this is a fake news. Its nothing happen in China. The virus HMPV appeared in the US as early as 2023. It is similar to the influenza. Just want to smearing ChinaðŸ:trade_mark:„ðŸ:trade_mark:„",im malaysianim in china to travel this is a fake news its nothing happen in china the virus hmpv appeared in the us as early as 2023 it is similar to the influenza just want to smearing chinaðÿtrade_markðÿtrade_mark,"{'neg': 0.077, 'neu': 0.891, 'pos': 0.032, 'compound': -0.4215}",-0.4215,Negative,Negative,0.8818588,1,Negative,0.772819281,Negative,0.942280531
Imagine china allowing people to film and post thigs they don't agree with or need.,imagine china allowing people to film and post thigs they dont agree with or need,"{'neg': 0.131, 'neu': 0.869, 'pos': 0.0, 'compound': -0.2755}",-0.2755,Negative,Negative,0.7633367,1,Negative,0.76948458,Negative,0.876966
Shameful WION that spreads chinese propaganda,shameful wion that spreads chinese propaganda,"{'neg': 0.565, 'neu': 0.435, 'pos': 0.0, 'compound': -0.6369}",-0.6369,Negative,Negative,0.77842814,1,Negative,0.910378277,Negative,0.905816615
China never releases bad news unless it fits their narrative. They always have everything under control and everything is always good. This is fake =),china never releases bad news unless it fits their narrative they always have everything under control and everything is always good this is fake,"{'neg': 0.104, 'neu': 0.704, 'pos': 0.193, 'compound': 0.3919}",0.3919,Positive,Negative,0.7926579,0,Negative,0.444770217,Negative,0.616213679
Only showing videos and pics ....no news person is there in china .....this does not proof.......china does not share its news openly like orher countries why every time china spread the virus because very few people cross the world visit or lives in China....so no one share the news,only showing videos and pics no news person is there in china this does not proofchina does not share its news openly like orher countries why every time china spread the virus because very few people cross the world visit or lives in chinaso no one share the news,"{'neg': 0.15, 'neu': 0.805, 'pos': 0.046, 'compound': -0.5684}",-0.5684,Negative,Negative,0.7843865,1,Negative,0.849381745,Negative,0.944352984
"As soon as Trump is back a new virus is out...

I will only accept this if we get a new Warzone game with Verdansk on it.",as soon as trump is back a new virus is out i will only accept this if we get a new warzone game with verdansk on it,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.3818}",0.3818,Positive,Positive,0.893274,1,Negative,0.875208557,Positive,0.61219877
"Dr Poornima ðŸ‡:registered:ðŸ‡³
@PoornimaNimo
HMPV Virus is not new to India. There is no need to panic. It is a Virus which affects little kids below 5 years, elderly, causing common cold type symptoms. The patient recovers within 2 to 5 days.

HMPV infestation is common in winter season. Only immunocompromised patients, the weak, debilitated and premature infants are at high risk.
Hospitalisation is required in a few cases.

Every year we have cases of HMPV Virus. They are just treated as common viral infestation of LRT.

Cover yourself in winter, maintain hygiene, clean your hands and avoid overcrowded places if accompaniedÂ byÂ kids.",dr poornima ðÿregisteredðÿ³ poornimanimo hmpv virus is not new to india there is no need to panic it is a virus which affects little kids below 5 years elderly causing common cold type symptoms the patient recovers within 2 to 5 days hmpv infestation is common in winter season only immunocompromised patients the weak debilitated and premature infants are at high risk hospitalisation is required in a few cases every year we have cases of hmpv virus they are just treated as common viral infestation of lrt cover yourself in winter maintain hygiene clean your hands and avoid overcrowded places if accompaniedâ byâ kids,"{'neg': 0.112, 'neu': 0.864, 'pos': 0.024, 'compound': -0.8402}",-0.8402,Negative,Negative,0.80344605,1,Negative,0.632640421,Negative,0.740316987
Most important: you forgot to mention what the mortality rate is.,most important you forgot to mention what the mortality rate is,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.2716}",0.2716,Positive,Positive,0.7165774,1,Negative,0.560591102,Positive,0.525335789
"Well , I know a few couples in your district and they made a video showing otherwise..
Blackrock,  Vangog,  Fauci,  Gates , Pfizer are all pitching in again. 
Remember I followed the money and it was leading me right to you",well i know a few couples in your district and they made a video showing otherwise blackrock vangog fauci gates pfizer are all pitching in again remember i followed the money and it was leading me right to you,"{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.2732}",0.2732,Positive,Positive,0.97656685,1,Neutral,0.804394186,Positive,0.792008162
We just got over covid and now we're going to have another pandemic without tik Tok ðŸ˜­ðŸ˜­,we just got over covid and now were going to have another pandemic without tik tok ðÿðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.98851687,1,Negative,0.61565721,Negative,0.842217386
lie..... nothing diff here,lie nothing diff here,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Neutral,0.99178267,1,Negative,0.489019483,Negative,0.665476084
"Come on folks , this is an another hoax leak out ....",come on folks this is an another hoax leak out,"{'neg': 0.36, 'neu': 0.64, 'pos': 0.0, 'compound': -0.5423}",-0.5423,Negative,Negative,0.7696848,1,Negative,0.69858247,Negative,0.891997814
"Don't create this speculation and create havoc , as you go to Ukraine for War report, you better go to China get the authentic report ....",dont create this speculation and create havoc as you go to ukraine for war report you better go to china get the authentic report,"{'neg': 0.286, 'neu': 0.565, 'pos': 0.149, 'compound': -0.6822}",-0.6822,Negative,Negative,0.51425123,1,Negative,0.816325724,Negative,0.613589525
OH HELL NO. F YOU CCP. ðŸ˜¡,oh hell no f you ccp ðÿ,"{'neg': 0.576, 'neu': 0.424, 'pos': 0.0, 'compound': -0.7783}",-0.7783,Negative,Negative,0.96992373,1,Negative,0.93437463,Negative,0.829891324
"So much needless scaremongering. It's a winter cough. If it targets children and adolescents, why is the footage of a normal crowded A&E full of just adults?!",so much needless scaremongering its a winter cough if it targets children and adolescents why is the footage of a normal crowded ae full of just adults,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral,Negative,0.5201323,0,Negative,0.880458057,Negative,0.967533112
"https://youtu.be/EjbZYEdiEwk?si=49R0W0XZjVFTmVqu

Haha.. again fake news on China again?",haha again fake news on china again,"{'neg': 0.279, 'neu': 0.45, 'pos': 0.27, 'compound': -0.0258}",-0.0258,Neutral,Negative,0.9677439,0,Negative,0.731715083,Negative,0.631041169
